,author_code,ebook_link,ebook_title,other_info,other_info.1,other_info.2,other_info.3,other_info.4,other_info.5,author_Name,author_Surname,clean_birth_year,clean_death_year,century,link_txt
3936,a6191,/ebooks/38058,"Mémoires de Vidocq, chef de la police de Sureté jusqu'en 1827, tome II",,,,,,,Vidocq, Eugène François,1775,1857,19,http://www.gutenberg.org/cache/epub/38058/pg38058.txt
3937,a6191,/ebooks/38059,"Mémoires de Vidocq, chef de la police de Sureté jusqu'en 1827, tome III",,,,,,,Vidocq, Eugène François,1775,1857,19,http://www.gutenberg.org/cache/epub/38059/pg38059.txt
3938,a6191,/ebooks/39921,Les vrais mystères de Paris,,,,,,,Vidocq, Eugène François,1775,1857,19,http://www.gutenberg.org/cache/epub/39921/pg39921.txt
3939,a25622,/ebooks/23019,"Souvenirs de Madame Louise-Élisabeth Vigée-Lebrun, Tome premier",,,,,,,Vigée-Lebrun, Louise-Elisabeth,1755,1842,18,http://www.gutenberg.org/cache/epub/23019/pg23019.txt
3940,a25622,/ebooks/23020,"Souvenirs de Madame Louise-Élisabeth Vigée-Lebrun, Tome second",,,,,,,Vigée-Lebrun, Louise-Elisabeth,1755,1842,18,http://www.gutenberg.org/cache/epub/23020/pg23020.txt
3941,a25622,/ebooks/23158,"Souvenirs de Madame Louise-Élisabeth Vigée-Lebrun, Tome troisième",,,,,,,Vigée-Lebrun, Louise-Elisabeth,1755,1842,18,http://www.gutenberg.org/cache/epub/23158/pg23158.txt
3942,a1343,/ebooks/44198,"Cinq-Mars; ou, Une conjuration sous Louis XIII (Tome 1 of 2)",,,,,,,Vigny, Alfred de,1797,1863,19,http://www.gutenberg.org/cache/epub/44198/pg44198.txt
3943,a1343,/ebooks/44199,"Cinq-Mars; ou, Une conjuration sous Louis XIII (Tome 2 of 2)",,,,,,,Vigny, Alfred de,1797,1863,19,http://www.gutenberg.org/cache/epub/44199/pg44199.txt
3944,a1343,/ebooks/18211,Servitude et grandeur militaires,,,,,,,Vigny, Alfred de,1797,1863,19,http://www.gutenberg.org/cache/epub/18211/pg18211.txt
3945,a1343,/ebooks/9655,Stello,,,,,,,Vigny, Alfred de,1797,1863,19,http://www.gutenberg.org/cache/epub/9655/pg9655.txt
3946,a6052,/ebooks/15434,En Kabylie: Voyage d'une Parisienne au Djurjura,,,,,,,Vilbort, J. (Joseph),1829,1911,19,http://www.gutenberg.org/cache/epub/15434/pg15434.txt
